date,protocol,asset,chain,best_apy_reward,tvl,tvl_usd,apy_base,apy_reward
2024-06-06,morpho-blue,GTUSDCCORE,Ethereum,1.11687,2213621,2213621,29.4298,1.11687
2024-06-07,morpho-blue,GTUSDCCORE,Ethereum,1.71863,2685301,2685301,22.39534,1.71863
2024-06-08,morpho-blue,GTUSDCCORE,Ethereum,1.40027,4204093,4204093,17.93347,1.40027
2024-06-09,morpho-blue,GTUSDCCORE,Ethereum,2.2781,5543265,5543265,44.07832,2.2781
2024-06-10,aave-v3,USDC,Arbitrum,0.0,26781387,26781387,7.28453,0.0
2024-06-11,morpho-blue,GTUSDCCORE,Ethereum,0.22551,4871001,4871001,22.77288,0.22551
2024-06-12,morpho-blue,GTUSDCCORE,Ethereum,0.06866,6571632,6571632,18.32828,0.06866
2024-06-13,aave-v3,USDC,Arbitrum,0.0,27446347,27446347,7.23027,0.0
2024-06-14,aave-v3,USDC,Arbitrum,0.0,27584744,27584744,7.20414,0.0
2024-06-15,aave-v3,USDC,Arbitrum,0.0,31333300,31333300,7.00017,0.0
2024-06-16,aave-v3,USDC,Arbitrum,0.0,29734207,29734207,7.08069,0.0
2024-06-17,aave-v3,USDC,Arbitrum,0.0,30232346,30232346,7.05243,0.0
2024-06-18,aave-v3,USDC,Arbitrum,0.0,25704320,25704320,7.64835,0.0
2024-06-19,aave-v3,USDC,Arbitrum,0.0,29091896,29091896,7.10065,0.0
2024-06-20,aave-v3,USDC,Arbitrum,0.0,27250462,27250462,7.20924,0.0
2024-06-21,morpho-blue,GTUSDCC,Base,31.78029,1003373,1003373,0.13524,31.78029
2024-06-22,morpho-blue,RE7USDC,Base,16.63351,248354,248354,0.35618,16.63351
2024-06-23,morpho-blue,RE7USDC,Base,16.25368,377484,377484,0.07521,16.25368
2024-06-24,morpho-blue,RE7USDC,Base,16.79673,689889,689889,0.05944,16.79673
2024-06-25,morpho-blue,MWUSDC,Base,15.82037,7231709,7231709,0.39802,15.82037
2024-06-26,morpho-blue,MWUSDC,Base,16.15336,6886928,6886928,0.46304,16.15336
2024-06-27,aave-v3,USDC,Arbitrum,0.0,47472082,47472082,5.29494,0.0
2024-06-28,morpho-blue,RE7USDC,Base,14.66916,751091,751091,0.04199,14.66916
2024-06-29,morpho-blue,RE7USDC,Base,13.34766,847769,847769,0.0372,13.34766
2024-06-30,morpho-blue,RE7USDC,Base,10.52643,1136806,1136806,0.03606,10.52643
2024-07-01,morpho-blue,RE7USDC,Base,10.52512,1137091,1137091,0.03328,10.52512
2024-07-02,morpho-blue,RE7USDC,Base,15.19709,1130297,1130297,0.04465,15.19709
2024-07-03,morpho-blue,FXUSDC,Ethereum,49.16416,232234,232234,1.87768,49.16416
2024-07-04,morpho-blue,FXUSDC,Ethereum,26.79121,372889,372889,13.82697,26.79121
2024-07-05,morpho-blue,RE7USDC,Base,14.63794,849309,849309,0.00743,14.63794
2024-07-06,morpho-blue,RE7USDC,Base,13.62381,880177,880177,0.09319,13.62381
2024-07-07,morpho-blue,GTUSDCC,Base,12.56316,2755721,2755721,1.38741,12.56316
2024-07-08,morpho-blue,FXUSDC,Ethereum,13.92186,630278,630278,2.84714,13.92186
2024-07-09,morpho-blue,FXUSDC,Ethereum,13.03416,636976,636976,6.91712,13.03416
2024-07-10,morpho-blue,GTUSDCC,Base,8.64932,4464180,4464180,2.75116,8.64932
2024-07-11,morpho-blue,FXUSDC,Ethereum,9.85382,828480,828480,2.62023,9.85382
2024-07-12,morpho-blue,FXUSDC,Ethereum,10.28541,794872,794872,3.76935,10.28541
2024-07-13,morpho-blue,GTUSDCC,Base,6.79618,6405342,6405342,1.08758,6.79618
2024-07-14,morpho-blue,FXUSDC,Ethereum,9.9068,818901,818901,12.38327,9.9068
2024-07-15,morpho-blue,GTUSDCC,Base,6.50022,7033169,7033169,1.99076,6.50022
2024-07-16,morpho-blue,FXUSDC,Ethereum,7.21639,1261262,1261262,3.75659,7.21639
2024-07-17,morpho-blue,RE7USDC,Base,11.3361,566491,566491,1.09708,11.3361
2024-07-18,morpho-blue,GTUSDCP,Base,12.62776,371134,371134,3.22014,12.62776
2024-07-19,aave-v3,USDC,Arbitrum,0.0,32276784,32276784,6.84925,0.0
2024-07-20,morpho-blue,FXUSDC,Ethereum,4.3227,2198558,2198558,2.44025,4.3227
2024-07-21,morpho-blue,FXUSDC,Ethereum,4.60791,2072805,2072805,2.6253,4.60791
2024-07-22,morpho-blue,FXUSDC,Ethereum,3.8366,1913065,1913065,13.93642,3.8366
2024-07-23,morpho-blue,FXUSDC,Ethereum,3.49268,1877432,1877432,19.28769,3.49268
2024-07-24,morpho-blue,GTEUSDC,Ethereum,49.22952,1371206,1371206,3.33138,49.22952
2024-07-25,morpho-blue,GTEUSDC,Ethereum,38.91271,1635273,1635273,2.47027,38.91271
2024-07-26,morpho-blue,FXUSDC,Ethereum,4.46253,1800294,1800294,5.07295,4.46253
2024-07-27,morpho-blue,GTEUSDC,Ethereum,23.98016,2688555,2688555,5.43755,23.98016
2024-07-28,morpho-blue,FXUSDC,Ethereum,4.48802,1823049,1823049,4.91345,4.48802
2024-07-29,morpho-blue,FXUSDC,Ethereum,4.98661,1508083,1508083,10.67715,4.98661
2024-07-30,morpho-blue,GTEUSDC,Ethereum,21.03359,2976259,2976259,2.3566,21.03359
2024-07-31,morpho-blue,GTEUSDC,Ethereum,20.65049,2976864,2976864,2.35972,20.65049
